Sample	Population	Superpopulation	Relationship
HG00096	GBR	EUR	nan
HG00097	GBR	EUR	nan
HG00098	GBR	EUR	nan
HG00099	GBR	EUR	nan
HG00100	GBR	EUR	nan
HG00101	GBR	EUR	nan
HG00102	GBR	EUR	nan
HG00103	GBR	EUR	nan
HG00104	GBR	EUR	nan
HG00105	GBR	EUR	nan
HG00106	GBR	EUR	nan
HG00107	GBR	EUR	nan
HG00108	GBR	EUR	nan
HG00109	GBR	EUR	nan
HG00110	GBR	EUR	nan
HG00111	GBR	EUR	nan
HG00112	GBR	EUR	nan
HG00113	GBR	EUR	nan
HG00114	GBR	EUR	nan
HG00115	GBR	EUR	nan
HG00116	GBR	EUR	nan
HG00117	GBR	EUR	nan
HG00118	GBR	EUR	nan
HG00119	GBR	EUR	nan
HG00120	GBR	EUR	nan
HG00121	GBR	EUR	nan
HG00122	GBR	EUR	nan
HG00123	GBR	EUR	nan
HG00124	GBR	EUR	nan
HG00125	GBR	EUR	nan
HG00126	GBR	EUR	nan
HG00127	GBR	EUR	nan
HG00128	GBR	EUR	nan
HG00129	GBR	EUR	nan
HG00130	GBR	EUR	nan
HG00131	GBR	EUR	nan
HG00132	GBR	EUR	nan
HG00133	GBR	EUR	nan
HG00134	GBR	EUR	nan
HG00135	GBR	EUR	nan
HG00136	GBR	EUR	nan
HG00137	GBR	EUR	nan
HG00138	GBR	EUR	nan
HG00139	GBR	EUR	nan
HG00140	GBR	EUR	nan
HG00141	GBR	EUR	nan
HG00142	GBR	EUR	nan
HG00143	GBR	EUR	nan
HG00144	GBR	EUR	mother
HG00145	GBR	EUR	nan
HG00146	GBR	EUR	child
HG00147	GBR	EUR	child
HG00148	GBR	EUR	nan
HG00149	GBR	EUR	nan
HG00150	GBR	EUR	nan
HG00151	GBR	EUR	nan
HG00152	GBR	EUR	nan
HG00153	GBR	EUR	child
HG00154	GBR	EUR	nan
HG00155	GBR	EUR	Child
HG00156	GBR	EUR	nan
HG00157	GBR	EUR	nan
HG00158	GBR	EUR	mother
HG00159	GBR	EUR	nan
HG00160	GBR	EUR	nan
HG00171	FIN	EUR	nan
HG00173	FIN	EUR	nan
HG00174	FIN	EUR	nan
HG00176	FIN	EUR	nan
HG00177	FIN	EUR	nan
HG00178	FIN	EUR	nan
HG00179	FIN	EUR	nan
